REF_DATE,GEO,DGUID,Age,Gender,Statistics,Total,Non_Immigrants,Immigrants,Recent_Immigrants_2016_2021,Non_Permanent_Residents
2021,"Corner Brook (CA), N.L.",2021S0504015,65 years and over,Total - Gender,2021 Counts,6935.0,6745.0,190.0,0.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,65 years and over,Men+,2021 Counts,3305.0,3195.0,105.0,0.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,65 years and over,Women+,2021 Counts,3630.0,3550.0,80.0,0.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,65 to 74 years,Total - Gender,2021 Counts,4305.0,4195.0,110.0,0.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,65 to 74 years,Men+,2021 Counts,2105.0,2035.0,70.0,0.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,65 to 74 years,Women+,2021 Counts,2195.0,2160.0,40.0,0.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,75 years and over,Total - Gender,2021 Counts,2630.0,2550.0,80.0,0.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,75 years and over,Men+,2021 Counts,1200.0,1160.0,35.0,0.0,0.0
2021,"Corner Brook (CA), N.L.",2021S0504015,75 years and over,Women+,2021 Counts,1430.0,1385.0,45.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,Total - Age,Total - Gender,2021 Counts,13080.0,12695.0,300.0,130.0,80.0
2021,"Gander (CA), N.L.",2021S0504011,Total - Age,Men+,2021 Counts,6425.0,6205.0,165.0,80.0,55.0
2021,"Gander (CA), N.L.",2021S0504011,Total - Age,Women+,2021 Counts,6655.0,6490.0,140.0,50.0,25.0
2021,"Gander (CA), N.L.",2021S0504011,0 to 14 years,Total - Gender,2021 Counts,2015.0,1970.0,35.0,0.0,10.0
2021,"Gander (CA), N.L.",2021S0504011,0 to 14 years,Men+,2021 Counts,1055.0,1035.0,15.0,0.0,0.0
