GEO,DGUID,Age,Gender,Total,Non_Immigrants,Immigrants,Recent_Immigrants_2016_2021,Non_Permanent_Residents
"Bathurst (CA), N.B.",2021S0504328,Total - Age,Total - Gender,30545.0,29500.0,755.0,215.0,290.0
"Campbellton (CA), N.B./Que.",2021S0504330,Total - Age,Total - Gender,12655.0,12290.0,290.0,85.0,75.0
"Campbellton (New Brunswick part) (CA), N.B.",2021S050613330,Total - Age,Total - Gender,11335.0,10980.0,275.0,85.0,75.0
"Campbellton (Quebec part) (CA), Que.",2021S050624330,Total - Age,Total - Gender,1320.0,1305.0,10.0,0.0,0.0
"Edmundston (CA), N.B.",2021S0504335,Total - Age,Total - Gender,20925.0,19915.0,715.0,245.0,300.0
"Fredericton (CMA), N.B.",2021S0503320,Total - Age,Total - Gender,107160.0,95865.0,9510.0,3725.0,1790.0
"Miramichi (CA), N.B.",2021S0504329,Total - Age,Total - Gender,27040.0,26065.0,865.0,295.0,110.0
"Moncton (CMA), N.B.",2021S0503305,Total - Age,Total - Gender,154245.0,136125.0,13345.0,6460.0,4775.0
"Saint John (CMA), N.B.",2021S0503310,Total - Age,Total - Gender,128385.0,118110.0,8460.0,3060.0,1815.0
Quebec,2021A000224,Total - Age,Total - Gender,8308480.0,6892110.0,1210600.0,202740.0,205775.0
"Alma (CA), Que.",2021S0504410,Total - Age,Total - Gender,29320.0,28955.0,260.0,45.0,105.0
"Amos (CA), Que.",2021S0504481,Total - Age,Total - Gender,18215.0,17870.0,230.0,85.0,110.0
"Baie-Comeau (CA), Que.",2021S0504406,Total - Age,Total - Gender,25720.0,25255.0,320.0,40.0,145.0
"Cowansville (CA), Que.",2021S0504437,Total - Age,Total - Gender,14285.0,13760.0,485.0,50.0,45.0
"Dolbeau-Mistassini (CA), Que.",2021S0504411,Total - Age,Total - Gender,14725.0,14520.0,120.0,35.0,85.0
"Drummondville (CMA), Que.",2021S0503447,Total - Age,Total - Gender,98570.0,93735.0,3700.0,980.0,1130.0
"Granby (CA), Que.",2021S0504450,Total - Age,Total - Gender,88250.0,83155.0,4420.0,940.0,670.0
"Joliette (CA), Que.",2021S0504456,Total - Age,Total - Gender,50165.0,47730.0,2120.0,500.0,315.0
"Lachute (CA), Que.",2021S0504468,Total - Age,Total - Gender,13360.0,13030.0,320.0,30.0,15.0
"Matane (CA), Que.",2021S0504403,Total - Age,Total - Gender,18020.0,17520.0,210.0,35.0,290.0
"Montréal (CMA), Que.",2021S0503462,Total - Age,Total - Gender,4206455.0,3021830.0,1022940.0,162260.0,161680.0
"Québec (CMA), Que.",2021S0503421,Total - Age,Total - Gender,817105.0,746855.0,54860.0,14310.0,15395.0
"Rimouski (CA), Que.",2021S0504404,Total - Age,Total - Gender,52480.0,50805.0,1190.0,370.0,485.0
"Rivière-du-Loup (CA), Que.",2021S0504405,Total - Age,Total - Gender,28675.0,27810.0,480.0,135.0,385.0
"Rouyn-Noranda (CA), Que.",2021S0504485,Total - Age,Total - Gender,41285.0,40110.0,750.0,220.0,425.0
"Saguenay (CMA), Que.",2021S0503408,Total - Age,Total - Gender,157895.0,154185.0,2065.0,420.0,1650.0
"Saint-Georges (CA), Que.",2021S0504428,Total - Age,Total - Gender,33990.0,32810.0,615.0,200.0,565.0
"Saint-Hyacinthe (CA), Que.",2021S0504452,Total - Age,Total - Gender,57575.0,51915.0,4295.0,1235.0,1365.0
"Sainte-Agathe-des-Monts (CA), Que.",2021S0504467,Total - Age,Total - Gender,19415.0,18240.0,1090.0,120.0,85.0
"Sainte-Marie (CA), Que.",2021S0504423,Total - Age,Total - Gender,12640.0,12115.0,320.0,65.0,210.0
"Salaberry-de-Valleyfield (CA), Que.",2021S0504465,Total - Age,Total - Gender,41200.0,39740.0,1310.0,220.0,150.0
"Sept-Îles (CA), Que.",2021S0504412,Total - Age,Total - Gender,27155.0,26520.0,490.0,175.0,150.0
"Shawinigan (CA), Que.",2021S0504444,Total - Age,Total - Gender,47640.0,46310.0,1010.0,255.0,320.0
"Sherbrooke (CMA), Que.",2021S0503433,Total - Age,Total - Gender,220105.0,199565.0,16725.0,4145.0,3815.0
"Sorel-Tracy (CA), Que.",2021S0504454,Total - Age,Total - Gender,40455.0,39275.0,1015.0,125.0,165.0
"Thetford Mines (CA), Que.",2021S0504430,Total - Age,Total - Gender,26430.0,25555.0,470.0,90.0,400.0
"Trois-Rivières (CMA), Que.",2021S0503442,Total - Age,Total - Gender,155535.0,146760.0,6355.0,1455.0,2415.0
"Val-d'Or (CA), Que.",2021S0504480,Total - Age,Total - Gender,33420.0,32420.0,740.0,240.0,265.0
"Victoriaville (CA), Que.",2021S0504440,Total - Age,Total - Gender,50550.0,48565.0,1580.0,335.0,415.0
Ontario,2021A000235,Total - Age,Total - Gender,14031755.0,9437320.0,4206585.0,584680.0,387850.0
"Barrie (CMA), Ont.",2021S0503568,Total - Age,Total - Gender,210155.0,171400.0,35340.0,4160.0,3405.0
"Belleville - Quinte West (CMA), Ont.",2021S0503522,Total - Age,Total - Gender,109245.0,99070.0,9065.0,870.0,1115.0
"Brantford (CMA), Ont.",2021S0503543,Total - Age,Total - Gender,141905.0,120245.0,20235.0,2265.0,1430.0
"Brockville (CA), Ont.",2021S0504512,Total - Age,Total - Gender,30880.0,27930.0,2855.0,260.0,95.0
"Centre Wellington (CA), Ont.",2021S0504531,Total - Age,Total - Gender,30645.0,27085.0,3450.0,220.0,110.0
"Chatham-Kent (CA), Ont.",2021S0504556,Total - Age,Total - Gender,102090.0,92315.0,9245.0,845.0,530.0
"Cobourg (CA), Ont.",2021S0504527,Total - Age,Total - Gender,19780.0,17190.0,2550.0,195.0,40.0
"Collingwood (CA), Ont.",2021S0504567,Total - Age,Total - Gender,24270.0,20945.0,3205.0,285.0,120.0
"Cornwall (CA), Ont.",2021S0504501,Total - Age,Total - Gender,59750.0,54655.0,4525.0,655.0,570.0
"Elliot Lake (CA), Ont.",2021S0504582,Total - Age,Total - Gender,11225.0,10030.0,1175.0,25.0,15.0
"Essa (CA), Ont.",2021S0504563,Total - Age,Total - Gender,22785.0,20005.0,2685.0,220.0,100.0
"Greater Sudbury (CMA), Ont.",2021S0503580,Total - Age,Total - Gender,167615.0,154070.0,9985.0,1655.0,3560.0
"Guelph (CMA), Ont.",2021S0503550,Total - Age,Total - Gender,163485.0,123670.0,37100.0,6000.0,2715.0
"Hamilton (CMA), Ont.",2021S0503537,Total - Age,Total - Gender,773440.0,561180.0,197845.0,26545.0,14410.0
"Hawkesbury (CA), Ont./Que.",2021S0504502,Total - Age,Total - Gender,11640.0,10980.0,625.0,120.0,35.0
"Hawkesbury (Ontario part) (CA), Ont.",2021S050635502,Total - Age,Total - Gender,9830.0,9215.0,580.0,115.0,35.0
"Hawkesbury (Quebec part) (CA), Que.",2021S050624502,Total - Age,Total - Gender,1815.0,1770.0,50.0,0.0,0.0
"Ingersoll (CA), Ont.",2021S0504533,Total - Age,Total - Gender,13545.0,12485.0,1030.0,115.0,30.0
"Kawartha Lakes (CA), Ont.",2021S0504530,Total - Age,Total - Gender,77230.0,70930.0,6100.0,215.0,195.0
"Kenora (CA), Ont.",2021S0504598,Total - Age,Total - Gender,14610.0,13855.0,640.0,75.0,115.0
"Kingston (CMA), Ont.",2021S0503521,Total - Age,Total - Gender,168075.0,144460.0,20290.0,2725.0,3320.0
"Kitchener - Cambridge - Waterloo (CMA), Ont.",2021S0503541,Total - Age,Total - Gender,568065.0,399240.0,146575.0,27785.0,22250.0
"London (CMA), Ont.",2021S0503555,Total - Age,Total - Gender,535780.0,400620.0,115600.0,20495.0,19555.0
"Midland (CA), Ont.",2021S0504571,Total - Age,Total - Gender,26365.0,24020.0,2265.0,180.0,80.0
"Norfolk (CA), Ont.",2021S0504547,Total - Age,Total - Gender,66225.0,58905.0,7075.0,520.0,240.0
