Locality,Province,Average Unmployment Rate (2021),DGUID,REF_DATE,Geography,English and French,English only,French only,Neither English nor French,Total - Knowledge of official languages,GEO,Coordinate,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]",GEO_LEVEL,CENSUS_YEAR,GEO_NAME,0 to 14 years,15 to 64 years,65 years and over,"Land area in square kilometres, 2021","National population rank, 2021","Population density per square kilometre, 2021","Population percentage change, 2016 to 2021","Population, 2016","Population, 2021","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2021","Province/territory population rank, 2021","Total private dwellings percentage change, 2016 to 2021","Total private dwellings, 2016","Total private dwellings, 2021",Age,Gender,Statistics,Total - Minority,Total Minority Population,South Asian,Chinese,Black,Filipino,Arab,Latin American,Southeast Asian,West Asian,Korean,Japanese,"Minority, n.i.e",Multiple Minorities,Not Minority,Total,Non_Immigrants,Immigrants,Recent_Immigrants_2016_2021,Non_Permanent_Residents
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,4634845.0,3099375.0,1478850.0,110805.0,56625.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,2264460.0,1536100.0,697485.0,56415.0,30880.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,2370385.0,1563280.0,781365.0,54390.0,25745.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,5162365.0,3791420.0,1355185.0,48300.0,15765.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,2518590.0,1857370.0,652540.0,21485.0,8680.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,2643770.0,1934050.0,702640.0,26810.0,7090.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,6586600.0,4606270.0,1971015.0,55500.0,9315.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,3079765.0,2159975.0,915540.0,23635.0,4250.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,3506835.0,2446290.0,1055475.0,31865.0,5070.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,3991130.0,2884625.0,1099930.0,38885.0,6575.0
