DGUID,GEO_LEVEL,CENSUS_YEAR,GEO_NAME,  0 to 14 years,  15 to 64 years,  65 years and over
2021A00053523017,Census subdivision,2021,Erin,1810,8065,2080
2021A00053523025,Census subdivision,2021,Centre Wellington,5335,18760,6550
2021A00053523033,Census subdivision,2021,Mapleton,2930,6570,1325
2021A00053523050,Census subdivision,2021,Wellington North,2340,7325,2435
2021A00053524001,Census subdivision,2021,Oakville,38430,141515,32110
2021A00053524002,Census subdivision,2021,Burlington,29880,117430,36645
2021A00053524009,Census subdivision,2021,Milton,31970,86640,12825
2021A00053524015,Census subdivision,2021,Halton Hills,10710,42530,9085
2021A00053525005,Census subdivision,2021,Hamilton,91120,371225,98575
2021A00053526003,Census subdivision,2021,Fort Erie,4400,19415,8675
2021A00053526011,Census subdivision,2021,Port Colborne,2630,11895,4880
2021A00053526021,Census subdivision,2021,West Lincoln,3115,9605,2685
2021A00053526028,Census subdivision,2021,Pelham,2715,10445,4640
2021A00053526032,Census subdivision,2021,Welland,8310,34450,12220
2021A00053526037,Census subdivision,2021,Thorold,4015,15840,3680
2021A00053526043,Census subdivision,2021,Niagara Falls,13855,59370,19445
2021A00053526047,Census subdivision,2021,Niagara-on-the-Lake,2095,9835,6535
2021A00053526053,Census subdivision,2021,St. Catharines,19330,85055,29950
2021A00053526057,Census subdivision,2021,Lincoln,4265,15370,5310
2021A00053526065,Census subdivision,2021,Grimsby,4675,18000,5895
2021A00053528018,Census subdivision,2021,Haldimand County,8625,30320,9620
2021A00053528052,Census subdivision,2021,Norfolk County,10245,39230,16755
2021A00053529005,Census subdivision,2021,Brant,6665,24560,7475
2021A00053529006,Census subdivision,2021,Brantford,17980,66515,18705
2021A00053530004,Census subdivision,2021,North Dumfries,1940,6865,1755
2021A00053530010,Census subdivision,2021,Cambridge,24465,91550,21105
2021A00053530013,Census subdivision,2021,Kitchener,44865,173310,35970
2021A00053530016,Census subdivision,2021,Waterloo,17570,83880,16940
2021A00053530020,Census subdivision,2021,Wilmot,4020,12820,4405
2021A00053530027,Census subdivision,2021,Wellesley,2775,6950,1585
2021A00053530035,Census subdivision,2021,Woolwich,5605,16555,4450
2021A00053531011,Census subdivision,2021,Stratford,4765,20340,7380
2021A00053531030,Census subdivision,2021,Perth East,2915,7655,1820
2021A00053531040,Census subdivision,2021,North Perth,3280,9335,2795
2021A00053532002,Census subdivision,2021,Norwich,2640,6780,1690
2021A00053532004,Census subdivision,2021,Tillsonburg,2630,10470,5195
2021A00053532018,Census subdivision,2021,Ingersoll,2495,8825,2215
2021A00053532042,Census subdivision,2021,Woodstock,8225,29155,8570
2021A00053534020,Census subdivision,2021,Central Elgin,1995,8515,3100
2021A00053534021,Census subdivision,2021,St. Thomas,7135,26350,8620
2021A00053536020,Census subdivision,2021,Chatham-Kent,16545,62215,23010
2021A00053537003,Census subdivision,2021,Leamington,5190,17690,5295
2021A00053537013,Census subdivision,2021,Kingsville,3570,12950,4665
2021A00053537016,Census subdivision,2021,Essex,3230,13095,4335
2021A00053537028,Census subdivision,2021,Amherstburg,3730,14750,4820
2021A00053537034,Census subdivision,2021,LaSalle,5515,21130,5835
2021A00053537039,Census subdivision,2021,Windsor,36595,149270,40595
2021A00053537048,Census subdivision,2021,Tecumseh,3575,14315,5120
2021A00053537064,Census subdivision,2021,Lakeshore,7330,26305,6595
2021A00053538003,Census subdivision,2021,St. Clair,2480,8850,3310
2021A00053538030,Census subdivision,2021,Sarnia,10560,43555,16820
2021A00053538040,Census subdivision,2021,Lambton Shores,1455,6385,3705
2021A00053539015,Census subdivision,2021,Strathroy-Caradoc,4000,14670,4880
2021A00053539027,Census subdivision,2021,Thames Centre,2400,8820,2635
2021A00053539033,Census subdivision,2021,Middlesex Centre,3645,11640,3450
2021A00053539036,Census subdivision,2021,London,68935,276515,70815
2021A00053540005,Census subdivision,2021,South Huron,1515,5540,2800
2021A00053541024,Census subdivision,2021,Kincardine,2150,7170,2745
2021A00053541045,Census subdivision,2021,Saugeen Shores,2530,9165,3950
2021A00053542004,Census subdivision,2021,West Grey,2070,7715,3210
2021A00053542015,Census subdivision,2021,Grey Highlands,1830,6120,2385
2021A00053542047,Census subdivision,2021,Meaford,1510,6260,3540
2021A00053542053,Census subdivision,2021,Georgian Bluffs,1580,6570,2900
2021A00053542059,Census subdivision,2021,Owen Sound,3085,12580,5160
2021A00053543003,Census subdivision,2021,Adjala-Tosorontio,1695,7345,1915
2021A00053543005,Census subdivision,2021,Clearview,2360,9470,2785
2021A00053543007,Census subdivision,2021,New Tecumseth,8370,27595,7500
2021A00053543009,Census subdivision,2021,Springwater,3900,14130,3530
2021A00053543014,Census subdivision,2021,Bradford West Gwillimbury,9185,28090,5060
2021A00053543015,Census subdivision,2021,Severn,2085,9025,3400
2021A00053543017,Census subdivision,2021,Innisfil,7550,28475,7180
2021A00053543019,Census subdivision,2021,Ramara,1185,6295,2875
2021A00053543021,Census subdivision,2021,Essa,4620,15440,2725
2021A00053543023,Census subdivision,2021,Oro-Medonte,3550,14485,4920
2021A00053543031,Census subdivision,2021,Collingwood,3295,13980,7000
2021A00053543042,Census subdivision,2021,Barrie,24695,99030,21660
2021A00053543052,Census subdivision,2021,Orillia,4640,19835,7795
2021A00053543064,Census subdivision,2021,Wasaga Beach,2900,13195,8490
2021A00053543068,Census subdivision,2021,Tiny,1550,7495,3730
2021A00053543071,Census subdivision,2021,Tay,1550,6865,2575
2021A00053543072,Census subdivision,2021,Penetanguishene,1105,5370,2495
2021A00053543074,Census subdivision,2021,Midland,2375,10395,4625
2021A00053544002,Census subdivision,2021,Gravenhurst,1500,7090,3545
2021A00053544018,Census subdivision,2021,Bracebridge,2310,10030,4425
2021A00053544042,Census subdivision,2021,Huntsville,2865,12915,4950
2021A00053547064,Census subdivision,2021,Pembroke,2025,8435,3170
2021A00053547076,Census subdivision,2021,Petawawa,3920,11660,1710
2021A00053548044,Census subdivision,2021,North Bay,7575,32985,10900
2021A00053548055,Census subdivision,2021,West Nipissing / Nipissing Ouest,2085,8525,3650
2021A00053553005,Census subdivision,2021,Greater Sudbury / Grand Sudbury,25600,105785,31645
2021A00053556027,Census subdivision,2021,Timmins,6650,26855,6800
2021A00053557041,Census subdivision,2021,Elliot Lake,1175,5640,4410
2021A00053557061,Census subdivision,2021,Sault Ste. Marie,10240,43530,16960
