DGUID,GEO_LEVEL,CENSUS_YEAR,GEO_NAME,TOTAL_GENDER (1),CHARACTERISTIC_NAME,AGE
2021A00052426030,Census subdivision,2021,Sainte-Marie,2525,  65 years and over,Total - Age
2021A00052429073,Census subdivision,2021,Saint-Georges,5315,  0 to 14 years,Total - Age
2021A00052429073,Census subdivision,2021,Saint-Georges,19735,  15 to 64 years,Total - Age
2021A00052429073,Census subdivision,2021,Saint-Georges,7045,  65 years and over,Total - Age
2021A00052431084,Census subdivision,2021,Thetford Mines,3525,  0 to 14 years,Total - Age
2021A00052431084,Census subdivision,2021,Thetford Mines,13880,  15 to 64 years,Total - Age
2021A00052431084,Census subdivision,2021,Thetford Mines,6840,  65 years and over,Total - Age
2021A00052434017,Census subdivision,2021,Pont-Rouge,2030,  0 to 14 years,Total - Age
2021A00052434017,Census subdivision,2021,Pont-Rouge,6265,  15 to 64 years,Total - Age
2021A00052434017,Census subdivision,2021,Pont-Rouge,1620,  65 years and over,Total - Age
2021A00052434128,Census subdivision,2021,Saint-Raymond,1850,  0 to 14 years,Total - Age
2021A00052434128,Census subdivision,2021,Saint-Raymond,6650,  15 to 64 years,Total - Age
2021A00052434128,Census subdivision,2021,Saint-Raymond,2355,  65 years and over,Total - Age
2021A00052436033,Census subdivision,2021,Shawinigan,6290,  0 to 14 years,Total - Age
2021A00052436033,Census subdivision,2021,Shawinigan,27805,  15 to 64 years,Total - Age
2021A00052436033,Census subdivision,2021,Shawinigan,13550,  65 years and over,Total - Age
2021A00052437067,Census subdivision,2021,Trois-Rivières,19555,  0 to 14 years,Total - Age
2021A00052437067,Census subdivision,2021,Trois-Rivières,82435,  15 to 64 years,Total - Age
2021A00052437067,Census subdivision,2021,Trois-Rivières,31685,  65 years and over,Total - Age
2021A00052438010,Census subdivision,2021,Bécancour,2300,  0 to 14 years,Total - Age
2021A00052438010,Census subdivision,2021,Bécancour,8175,  15 to 64 years,Total - Age
2021A00052438010,Census subdivision,2021,Bécancour,2690,  65 years and over,Total - Age
2021A00052439062,Census subdivision,2021,Victoriaville,7435,  0 to 14 years,Total - Age
2021A00052439062,Census subdivision,2021,Victoriaville,26840,  15 to 64 years,Total - Age
2021A00052439062,Census subdivision,2021,Victoriaville,11105,  65 years and over,Total - Age
2021A00052443027,Census subdivision,2021,Sherbrooke,27195,  0 to 14 years,Total - Age
2021A00052443027,Census subdivision,2021,Sherbrooke,107560,  15 to 64 years,Total - Age
2021A00052443027,Census subdivision,2021,Sherbrooke,32425,  65 years and over,Total - Age
2021A00052445072,Census subdivision,2021,Magog,3690,  0 to 14 years,Total - Age
2021A00052445072,Census subdivision,2021,Magog,15465,  15 to 64 years,Total - Age
2021A00052445072,Census subdivision,2021,Magog,7815,  65 years and over,Total - Age
2021A00052446078,Census subdivision,2021,Bromont,1830,  0 to 14 years,Total - Age
2021A00052446078,Census subdivision,2021,Bromont,7080,  15 to 64 years,Total - Age
2021A00052446078,Census subdivision,2021,Bromont,2350,  65 years and over,Total - Age
2021A00052446080,Census subdivision,2021,Cowansville,2275,  0 to 14 years,Total - Age
2021A00052446080,Census subdivision,2021,Cowansville,8250,  15 to 64 years,Total - Age
2021A00052446080,Census subdivision,2021,Cowansville,3760,  65 years and over,Total - Age
2021A00052446112,Census subdivision,2021,Farnham,1945,  0 to 14 years,Total - Age
2021A00052446112,Census subdivision,2021,Farnham,6120,  15 to 64 years,Total - Age
2021A00052446112,Census subdivision,2021,Farnham,1900,  65 years and over,Total - Age
2021A00052447017,Census subdivision,2021,Granby,10565,  0 to 14 years,Total - Age
2021A00052447017,Census subdivision,2021,Granby,40315,  15 to 64 years,Total - Age
2021A00052447017,Census subdivision,2021,Granby,15710,  65 years and over,Total - Age
2021A00052449058,Census subdivision,2021,Drummondville,12400,  0 to 14 years,Total - Age
2021A00052449058,Census subdivision,2021,Drummondville,47440,  15 to 64 years,Total - Age
2021A00052449058,Census subdivision,2021,Drummondville,16595,  65 years and over,Total - Age
2021A00052452007,Census subdivision,2021,Lavaltrie,2770,  0 to 14 years,Total - Age
2021A00052452007,Census subdivision,2021,Lavaltrie,9270,  15 to 64 years,Total - Age
2021A00052452007,Census subdivision,2021,Lavaltrie,2300,  65 years and over,Total - Age
2021A00052453052,Census subdivision,2021,Sorel-Tracy,4380,  0 to 14 years,Total - Age
2021A00052453052,Census subdivision,2021,Sorel-Tracy,19545,  15 to 64 years,Total - Age
2021A00052453052,Census subdivision,2021,Sorel-Tracy,9785,  65 years and over,Total - Age
2021A00052454048,Census subdivision,2021,Saint-Hyacinthe,8480,  0 to 14 years,Total - Age
2021A00052454048,Census subdivision,2021,Saint-Hyacinthe,33525,  15 to 64 years,Total - Age
2021A00052454048,Census subdivision,2021,Saint-Hyacinthe,12820,  65 years and over,Total - Age
2021A00052455048,Census subdivision,2021,Marieville,2300,  0 to 14 years,Total - Age
2021A00052455048,Census subdivision,2021,Marieville,7045,  15 to 64 years,Total - Age
2021A00052455048,Census subdivision,2021,Marieville,1690,  65 years and over,Total - Age
2021A00052456083,Census subdivision,2021,Saint-Jean-sur-Richelieu,16620,  0 to 14 years,Total - Age
2021A00052456083,Census subdivision,2021,Saint-Jean-sur-Richelieu,59935,  15 to 64 years,Total - Age
2021A00052456083,Census subdivision,2021,Saint-Jean-sur-Richelieu,19145,  65 years and over,Total - Age
2021A00052457005,Census subdivision,2021,Chambly,6725,  0 to 14 years,Total - Age
2021A00052457005,Census subdivision,2021,Chambly,20180,  15 to 64 years,Total - Age
2021A00052457005,Census subdivision,2021,Chambly,3990,  65 years and over,Total - Age
2021A00052457010,Census subdivision,2021,Carignan,2545,  0 to 14 years,Total - Age
2021A00052457010,Census subdivision,2021,Carignan,7835,  15 to 64 years,Total - Age
2021A00052457010,Census subdivision,2021,Carignan,1355,  65 years and over,Total - Age
2021A00052457020,Census subdivision,2021,Saint-Basile-le-Grand,3355,  0 to 14 years,Total - Age
2021A00052457020,Census subdivision,2021,Saint-Basile-le-Grand,11215,  15 to 64 years,Total - Age
2021A00052457020,Census subdivision,2021,Saint-Basile-le-Grand,2335,  65 years and over,Total - Age
2021A00052457035,Census subdivision,2021,Mont-Saint-Hilaire,3140,  0 to 14 years,Total - Age
2021A00052457035,Census subdivision,2021,Mont-Saint-Hilaire,11305,  15 to 64 years,Total - Age
2021A00052457035,Census subdivision,2021,Mont-Saint-Hilaire,3865,  65 years and over,Total - Age
2021A00052457040,Census subdivision,2021,Beloeil,4575,  0 to 14 years,Total - Age
2021A00052457040,Census subdivision,2021,Beloeil,14355,  15 to 64 years,Total - Age
2021A00052457040,Census subdivision,2021,Beloeil,4815,  65 years and over,Total - Age
2021A00052458007,Census subdivision,2021,Brossard,15160,  0 to 14 years,Total - Age
2021A00052458007,Census subdivision,2021,Brossard,56340,  15 to 64 years,Total - Age
2021A00052458007,Census subdivision,2021,Brossard,17645,  65 years and over,Total - Age
2021A00052458012,Census subdivision,2021,Saint-Lambert,3410,  0 to 14 years,Total - Age
2021A00052458012,Census subdivision,2021,Saint-Lambert,12760,  15 to 64 years,Total - Age
2021A00052458012,Census subdivision,2021,Saint-Lambert,5620,  65 years and over,Total - Age
2021A00052458033,Census subdivision,2021,Boucherville,6505,  0 to 14 years,Total - Age
2021A00052458033,Census subdivision,2021,Boucherville,24845,  15 to 64 years,Total - Age
2021A00052458033,Census subdivision,2021,Boucherville,9525,  65 years and over,Total - Age
2021A00052458037,Census subdivision,2021,Saint-Bruno-de-Montarville,4640,  0 to 14 years,Total - Age
2021A00052458037,Census subdivision,2021,Saint-Bruno-de-Montarville,15545,  15 to 64 years,Total - Age
2021A00052458037,Census subdivision,2021,Saint-Bruno-de-Montarville,5745,  65 years and over,Total - Age
2021A00052458227,Census subdivision,2021,Longueuil,42610,  0 to 14 years,Total - Age
2021A00052458227,Census subdivision,2021,Longueuil,162960,  15 to 64 years,Total - Age
2021A00052458227,Census subdivision,2021,Longueuil,44865,  65 years and over,Total - Age
2021A00052459010,Census subdivision,2021,Sainte-Julie,5205,  0 to 14 years,Total - Age
2021A00052459010,Census subdivision,2021,Sainte-Julie,19425,  15 to 64 years,Total - Age
2021A00052459010,Census subdivision,2021,Sainte-Julie,4710,  65 years and over,Total - Age
2021A00052459015,Census subdivision,2021,Saint-Amable,3020,  0 to 14 years,Total - Age
2021A00052459015,Census subdivision,2021,Saint-Amable,8975,  15 to 64 years,Total - Age
2021A00052459015,Census subdivision,2021,Saint-Amable,1325,  65 years and over,Total - Age
2021A00052459020,Census subdivision,2021,Varennes,3920,  0 to 14 years,Total - Age
2021A00052459020,Census subdivision,2021,Varennes,13790,  15 to 64 years,Total - Age
2021A00052459020,Census subdivision,2021,Varennes,3090,  65 years and over,Total - Age
2021A00052460013,Census subdivision,2021,Repentigny,15535,  0 to 14 years,Total - Age
2021A00052460013,Census subdivision,2021,Repentigny,52815,  15 to 64 years,Total - Age
2021A00052460013,Census subdivision,2021,Repentigny,16630,  65 years and over,Total - Age
2021A00052460028,Census subdivision,2021,L'Assomption,5065,  0 to 14 years,Total - Age
2021A00052460028,Census subdivision,2021,L'Assomption,14335,  15 to 64 years,Total - Age
2021A00052460028,Census subdivision,2021,L'Assomption,3620,  65 years and over,Total - Age
2021A00052461025,Census subdivision,2021,Joliette,3060,  0 to 14 years,Total - Age
2021A00052461025,Census subdivision,2021,Joliette,12530,  15 to 64 years,Total - Age
2021A00052461025,Census subdivision,2021,Joliette,4885,  65 years and over,Total - Age
2021A00052461035,Census subdivision,2021,Saint-Charles-Borromée,1825,  0 to 14 years,Total - Age
2021A00052461035,Census subdivision,2021,Saint-Charles-Borromée,7395,  15 to 64 years,Total - Age
2021A00052461035,Census subdivision,2021,Saint-Charles-Borromée,4470,  65 years and over,Total - Age
2021A00052462037,Census subdivision,2021,Rawdon,1745,  0 to 14 years,Total - Age
2021A00052462037,Census subdivision,2021,Rawdon,7070,  15 to 64 years,Total - Age
2021A00052462037,Census subdivision,2021,Rawdon,2685,  65 years and over,Total - Age
2021A00052463048,Census subdivision,2021,Saint-Lin--Laurentides,5625,  0 to 14 years,Total - Age
2021A00052463048,Census subdivision,2021,Saint-Lin--Laurentides,15480,  15 to 64 years,Total - Age
2021A00052463048,Census subdivision,2021,Saint-Lin--Laurentides,2760,  65 years and over,Total - Age
2021A00052463060,Census subdivision,2021,Sainte-Julienne,2065,  0 to 14 years,Total - Age
2021A00052463060,Census subdivision,2021,Sainte-Julienne,7060,  15 to 64 years,Total - Age
2021A00052463060,Census subdivision,2021,Sainte-Julienne,1780,  65 years and over,Total - Age
2021A00052464008,Census subdivision,2021,Terrebonne,23795,  0 to 14 years,Total - Age
2021A00052464008,Census subdivision,2021,Terrebonne,77410,  15 to 64 years,Total - Age
2021A00052464008,Census subdivision,2021,Terrebonne,16840,  65 years and over,Total - Age
2021A00052464015,Census subdivision,2021,Mascouche,10150,  0 to 14 years,Total - Age
2021A00052464015,Census subdivision,2021,Mascouche,32590,  15 to 64 years,Total - Age
2021A00052464015,Census subdivision,2021,Mascouche,7340,  65 years and over,Total - Age
2021A00052465005,Census subdivision,2021,Laval,75140,  0 to 14 years,Total - Age
2021A00052465005,Census subdivision,2021,Laval,280025,  15 to 64 years,Total - Age
2021A00052465005,Census subdivision,2021,Laval,74390,  65 years and over,Total - Age
2021A00052466023,Census subdivision,2021,Montréal,269930,  0 to 14 years,Total - Age
2021A00052466023,Census subdivision,2021,Montréal,1187090,  15 to 64 years,Total - Age
2021A00052466023,Census subdivision,2021,Montréal,266205,  65 years and over,Total - Age
2021A00052466032,Census subdivision,2021,Westmount,2835,  0 to 14 years,Total - Age
2021A00052466032,Census subdivision,2021,Westmount,11150,  15 to 64 years,Total - Age
2021A00052466032,Census subdivision,2021,Westmount,5300,  65 years and over,Total - Age
2021A00052466058,Census subdivision,2021,Côte-Saint-Luc,6000,  0 to 14 years,Total - Age
2021A00052466058,Census subdivision,2021,Côte-Saint-Luc,18560,  15 to 64 years,Total - Age
2021A00052466058,Census subdivision,2021,Côte-Saint-Luc,9155,  65 years and over,Total - Age
2021A00052466072,Census subdivision,2021,Mont-Royal,4260,  0 to 14 years,Total - Age
2021A00052466072,Census subdivision,2021,Mont-Royal,12755,  15 to 64 years,Total - Age
2021A00052466072,Census subdivision,2021,Mont-Royal,3675,  65 years and over,Total - Age
2021A00052466087,Census subdivision,2021,Dorval,2640,  0 to 14 years,Total - Age
2021A00052466087,Census subdivision,2021,Dorval,12490,  15 to 64 years,Total - Age
2021A00052466087,Census subdivision,2021,Dorval,3885,  65 years and over,Total - Age
2021A00052466097,Census subdivision,2021,Pointe-Claire,4885,  0 to 14 years,Total - Age
2021A00052466097,Census subdivision,2021,Pointe-Claire,19240,  15 to 64 years,Total - Age
2021A00052466097,Census subdivision,2021,Pointe-Claire,7435,  65 years and over,Total - Age
2021A00052466102,Census subdivision,2021,Kirkland,3070,  0 to 14 years,Total - Age
2021A00052466102,Census subdivision,2021,Kirkland,12480,  15 to 64 years,Total - Age
2021A00052466102,Census subdivision,2021,Kirkland,3690,  65 years and over,Total - Age
2021A00052466107,Census subdivision,2021,Beaconsfield,3465,  0 to 14 years,Total - Age
2021A00052466107,Census subdivision,2021,Beaconsfield,11950,  15 to 64 years,Total - Age
2021A00052466107,Census subdivision,2021,Beaconsfield,3620,  65 years and over,Total - Age
2021A00052466142,Census subdivision,2021,Dollard-Des Ormeaux,7885,  0 to 14 years,Total - Age
2021A00052466142,Census subdivision,2021,Dollard-Des Ormeaux,30210,  15 to 64 years,Total - Age
2021A00052466142,Census subdivision,2021,Dollard-Des Ormeaux,9830,  65 years and over,Total - Age
2021A00052467015,Census subdivision,2021,La Prairie,4765,  0 to 14 years,Total - Age
2021A00052467015,Census subdivision,2021,La Prairie,17145,  15 to 64 years,Total - Age
