DGUID,GEO,"Land area in square kilometres, 2021","National population rank, 2021","Population density per square kilometre, 2021","Population percentage change, 2016 to 2021","Population, 2016","Population, 2021","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2021","Province/territory population rank, 2021","Total private dwellings percentage change, 2016 to 2021","Total private dwellings, 2016","Total private dwellings, 2021"
2021A00053558100,Lac des Mille Lacs 22A1,17.32,4831.0,0.0,,0.0,0.0,,0.0,0.0,555.0,,0.0,0.0
2021A00053559001,Atikokan,313.64,1144.0,8.4,-4.0,2753.0,2642.0,-3.5,1305.0,1259.0,290.0,-0.9,1477.0,1464.0
2021A00053559011,Alberton,116.6,2173.0,8.2,-1.5,969.0,954.0,-3.4,352.0,340.0,368.0,-3.0,366.0,355.0
2021A00053559012,Fort Frances,25.55,552.0,292.2,-3.5,7739.0,7466.0,0.1,3449.0,3451.0,194.0,0.6,3758.0,3779.0
2021A00053559016,La Vallee,237.12,2384.0,3.3,-16.0,938.0,788.0,-12.1,363.0,319.0,380.0,-4.1,395.0,379.0
2021A00053559019,Emo,202.28,1889.0,6.0,-9.7,1333.0,1204.0,-8.7,517.0,472.0,340.0,-6.0,554.0,521.0
2021A00053559024,Chapple,558.15,2420.0,1.4,18.7,643.0,763.0,14.7,231.0,265.0,383.0,4.4,318.0,332.0
2021A00053559026,Manitou Rapids 11,22.73,3510.0,13.2,6.0,283.0,300.0,6.3,96.0,102.0,469.0,3.9,103.0,107.0
2021A00053559031,Morley,388.38,2954.0,1.3,2.5,481.0,493.0,4.5,178.0,186.0,430.0,1.3,232.0,235.0
2021A00053559040,Dawson,343.42,3181.0,1.2,-14.7,468.0,399.0,-7.8,206.0,190.0,446.0,-6.2,292.0,274.0
2021A00053559042,Rainy River,3.12,2438.0,241.4,-6.8,807.0,752.0,1.7,360.0,366.0,387.0,-8.3,434.0,398.0
2021A00053559046,Assabaska,8.71,4831.0,0.0,,0.0,0.0,-100.0,1.0,0.0,555.0,-100.0,83.0,0.0
2021A00053559047,Lake of the Woods,746.24,3484.0,0.4,33.9,230.0,308.0,28.4,109.0,140.0,468.0,3.7,438.0,454.0
2021A00053559051,Big Grassy River 35G,33.73,3678.0,7.4,6.8,235.0,251.0,15.5,71.0,82.0,478.0,15.8,76.0,88.0
2021A00053559052,Big Island Mainland 93,0.42,4760.0,11.8,-50.0,10.0,5.0,0.0,2.0,2.0,548.0,50.0,2.0,3.0
2021A00053559053,Saug-A-Gaw-Sing 1,0.68,4116.0,200.9,38.8,98.0,136.0,10.0,40.0,44.0,513.0,18.2,44.0,52.0
2021A00053559060,Neguaguon Lake 25D,62.7,4181.0,1.9,-33.3,177.0,118.0,-43.3,60.0,34.0,522.0,-26.3,76.0,56.0
2021A00053559061,Rainy Lake 18C,17.93,4150.0,7.0,8.7,115.0,125.0,22.2,36.0,44.0,518.0,25.6,39.0,49.0
2021A00053559062,Agency 1,0.48,4831.0,0.0,,0.0,0.0,,0.0,0.0,555.0,,0.0,0.0
2021A00053559063,Couchiching 16A,65.47,2656.0,9.7,-21.9,810.0,633.0,-9.9,262.0,236.0,405.0,-6.0,268.0,252.0
2021A00053559064,Rainy Lake 26A,24.12,4015.0,6.6,0.6,157.0,158.0,7.0,43.0,46.0,502.0,2.2,46.0,47.0
2021A00053559066,Seine River 23A,15.72,3612.0,17.2,2.7,263.0,270.0,-3.4,88.0,85.0,473.0,0.0,90.0,90.0
2021A00053559068,Rainy Lake 17A,14.22,3732.0,16.5,10.9,211.0,234.0,11.8,68.0,76.0,484.0,2.6,76.0,78.0
2021A00053559069,Rainy Lake 17B,9.81,4760.0,0.5,0.0,5.0,5.0,0.0,2.0,2.0,548.0,0.0,2.0,2.0
2021A00053559089,Sturgeon Falls 23,26.43,4722.0,0.4,100.0,5.0,10.0,0.0,2.0,2.0,547.0,0.0,2.0,2.0
2021A00053559090,"Rainy River, Unorganized",12163.33,1718.0,0.1,3.1,1380.0,1423.0,-3.2,591.0,572.0,331.0,-18.8,2046.0,1662.0
2021A00053560001,Ignace,72.13,1888.0,16.7,0.3,1202.0,1206.0,-2.3,564.0,551.0,339.0,-6.6,711.0,664.0
2021A00053560004,Whitefish Bay 32A,18.36,2697.0,33.2,6.1,575.0,610.0,6.9,174.0,186.0,407.0,10.5,191.0,211.0
2021A00053560005,Whitefish Bay 33A,12.08,4290.0,7.8,-2.1,96.0,94.0,-2.9,34.0,33.0,529.0,-2.6,39.0,38.0
2021A00053560008,Sioux Narrows-Nestor Falls,1215.8,2475.0,0.6,28.2,567.0,727.0,38.1,239.0,330.0,393.0,33.1,797.0,1061.0
2021A00053560010,Kenora,211.65,290.0,70.7,-0.9,15096.0,14967.0,0.5,6475.0,6510.0,106.0,3.5,7376.0,7637.0
2021A00053560021,Machin,290.14,2097.0,3.5,4.2,971.0,1012.0,4.1,439.0,457.0,355.0,5.9,597.0,632.0
2021A00053560024,Eagle Lake 27,32.38,3649.0,7.9,14.7,224.0,257.0,4.1,97.0,101.0,477.0,10.0,100.0,110.0
2021A00053560027,Dryden,65.58,560.0,112.7,-4.7,7749.0,7388.0,-1.4,3361.0,3314.0,196.0,0.9,3541.0,3574.0
2021A00053560032,Ear Falls,336.69,2215.0,2.7,-7.1,995.0,924.0,-1.2,407.0,402.0,372.0,3.3,490.0,506.0
2021A00053560034,Sioux Lookout,378.02,667.0,15.4,10.8,5272.0,5839.0,15.9,2019.0,2340.0,221.0,17.3,2257.0,2647.0
2021A00053560042,Red Lake,602.93,845.0,6.8,-0.3,4107.0,4094.0,1.2,1682.0,1703.0,247.0,-2.0,1938.0,1899.0
2021A00053560046,Slate Falls,62.95,3513.0,4.7,28.9,232.0,299.0,-6.0,67.0,63.0,470.0,-7.7,78.0,72.0
2021A00053560049,Pickle Lake,247.21,3184.0,1.6,2.6,388.0,398.0,6.2,146.0,155.0,447.0,-0.9,223.0,221.0
2021A00053560050,Fort Albany (Part) 67,363.79,,,,1404.0,,,251.0,,,,284.0,
2021A00053560051,Attawapiskat 91A,1.75,1608.0,905.0,5.7,1501.0,1586.0,-7.2,387.0,359.0,320.0,-2.7,415.0,404.0
2021A00053560052,Marten Falls 65,79.0,3711.0,3.1,-3.6,252.0,243.0,7.8,64.0,69.0,482.0,10.4,77.0,85.0
2021A00053560053,Fort Hope 64,239.29,2138.0,4.1,-3.6,1014.0,977.0,10.7,233.0,258.0,361.0,46.0,239.0,349.0
2021A00053560054,Cat Lake 63C,17.11,2615.0,38.1,15.2,565.0,651.0,5.1,136.0,143.0,401.0,15.0,140.0,161.0
2021A00053560055,Osnaburgh 63B,125.37,2883.0,4.2,20.5,435.0,524.0,20.9,86.0,104.0,425.0,14.5,110.0,126.0
2021A00053560056,Lac Seul 28,243.73,2086.0,4.2,4.9,974.0,1022.0,8.1,297.0,321.0,354.0,11.3,327.0,364.0
2021A00053560057,Wabigoon Lake 27,42.68,3954.0,4.1,4.2,168.0,175.0,6.7,75.0,80.0,499.0,14.7,75.0,86.0
2021A00053560058,English River 21,39.3,2741.0,14.9,-8.5,638.0,584.0,-8.1,198.0,182.0,411.0,3.1,223.0,230.0
2021A00053560059,Weagamow Lake 87,89.84,2218.0,10.3,4.0,886.0,921.0,-3.7,241.0,232.0,373.0,-9.8,266.0,240.0
2021A00053560060,Northwest Angle 33B,12.41,4501.0,4.2,-45.3,95.0,52.0,-23.5,34.0,26.0,537.0,4.7,43.0,45.0
2021A00053560061,Wabaseemoong,76.08,2344.0,10.7,-1.5,827.0,815.0,5.7,212.0,224.0,377.0,2.1,233.0,238.0
2021A00053560063,Sabaskong Bay 35D,5.01,3232.0,76.5,3.2,371.0,383.0,-0.9,117.0,116.0,449.0,13.2,121.0,137.0
2021A00053560064,Shoal Lake 34B2,1.85,4344.0,43.7,-46.4,151.0,81.0,-22.9,48.0,37.0,532.0,-31.6,57.0,39.0
2021A00053560065,Lake of the Woods 37,11.9,4516.0,4.1,-21.0,62.0,49.0,26.7,15.0,19.0,538.0,30.0,20.0,26.0
2021A00053560066,Kenora 38B,19.45,3172.0,20.7,-4.5,421.0,402.0,-0.7,134.0,133.0,445.0,0.7,144.0,145.0
2021A00053560067,Poplar Hill,6.83,2598.0,97.1,40.2,473.0,663.0,38.0,92.0,127.0,400.0,25.9,116.0,146.0
2021A00053560068,Shoal Lake 39A,32.55,3064.0,13.7,13.8,391.0,445.0,7.5,147.0,158.0,437.0,6.3,158.0,168.0
2021A00053560069,Rat Portage 38A,29.64,3971.0,5.8,22.1,140.0,171.0,34.8,46.0,62.0,500.0,6.1,231.0,245.0
2021A00053560070,Deer Lake,13.65,2013.0,79.6,25.4,867.0,1087.0,24.2,211.0,262.0,347.0,35.2,244.0,330.0
2021A00053560071,Sandy Lake 88,44.31,1339.0,47.4,4.1,2017.0,2100.0,4.4,472.0,493.0,306.0,10.1,516.0,568.0
2021A00053560075,Kitchenuhmaykoosib Aaki 84,277.01,2075.0,3.7,0.5,1024.0,1029.0,-9.8,306.0,276.0,353.0,-11.6,327.0,289.0
2021A00053560076,Sachigo Lake 1,30.07,2700.0,20.2,18.3,514.0,608.0,40.5,116.0,163.0,409.0,27.7,137.0,175.0
2021A00053560077,Pikangikum 14,8.39,,,,,,,,,,,,
2021A00053560078,Fort Severn 89,42.64,3305.0,8.5,0.8,361.0,364.0,13.6,81.0,92.0,457.0,-8.0,100.0,92.0
2021A00053560079,Webequie,320.35,2482.0,2.3,-7.1,778.0,723.0,7.8,154.0,166.0,394.0,3.6,165.0,171.0
2021A00053560080,North Spirit Lake,18.21,3630.0,14.6,-9.6,293.0,265.0,3.8,78.0,81.0,476.0,0.0,91.0,91.0
2021A00053560081,Lansdowne House,1.15,4831.0,0.0,,0.0,0.0,,0.0,0.0,555.0,,0.0,0.0
